0	1	2	3	4	uc_smillie2020_imm	covid19_yoshida2022_airways	nslc_kim2020_old	nslc_kim2020	crc_zhang2020	siv_quinn2023	tb_alexandria_4wk	tb_alexandria_10wk	tb_alexandria_4bwk	ibd_predict	nslc_liu2022	covid19_grant2021	covid19_ren2021	nslc_guo2018	crc_zhang2018	nslc_lambrechts2018	ild_adams2020	ild_fabre2022	ild_habermann2019	tb_cai2022	ced_atalsy2022	crc_pelka2021
Stromal cell	Fibroblast lineage	Fibroblast cell			Inflammatory Fibroblasts,WNT5B+ 1,WNT5B+ 2,WNT2B+ Fos-hi,WNT2B+ Fos-lo 1,WNT2B+ Fos-lo 2,RSPO3+		Fibroblasts+Fibroblasts+Undetermined,Fibroblasts+Fibroblasts+COL13A1+ matrix FBs,Fibroblasts+Fibroblasts+FB-like cells,Fibroblasts+Fibroblasts+Mesothelial cells	COL13A1+ matrix FBs,FB-like cells,COL14A1+ matrix FBs,Mesothelial cells	hF02_CAF-FAP		fibroblast	Fibro								GABARAP-expressing fibroblasts,COL4A2-expressing fibroblasts,normal  lung fibroblasts,PLA2G2A-expressing fibroblasts,COL12A1-expressing fibroblasts,TFPI2-expressing fibroblasts	Fibroblast	Fibroblast	PLIN2+ Fibroblasts,Fibroblasts,HAS1 High Fibroblasts			
Stromal cell	Fibroblast lineage	Myofibroblast cell			Myofibroblasts		Fibroblasts+Fibroblasts+Myofibroblasts	Myofibroblasts	hF01_Myofib-ACTA2												Myofibroblast		Myofibroblasts			cS26 (Myofibro)
Stromal cell	Smooth muscle cell																				Smooth-Muscle,Smooth-Muscle_MT-tRNAs	SMC	Smooth Muscle Cells			cS32 (Smooth Muscle)
Stromal cell	Mesothelilal cell																				Mesothelial		Mesothelial Cells			
Stromal cell	Chondrocyte																									
Immune cell																										
Immune cell	Lymphoid cell						NK cells+T/NK cells+Undetermined,T lymphocytes+T/NK cells+Undetermined	NK cells																		
Immune cell	Lymphoid cell	B cell lineage															B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B					Bcell				
Immune cell	Lymphoid cell	B cell lineage	B cell		Cycling B,GC		B lymphocytes+B lymphocytes+Undetermined,B lymphocytes+B lymphocytes+MALT B cells,B lymphocytes+B lymphocytes+GC B cells in the DZ,B lymphocytes+B lymphocytes+GC B cells in the LZ,B lymphocytes+B lymphocytes+GrB-secreting B cells	GrB-secreting B cells,MALT B cells,GC B cells in the LZ,GC B cells in the DZ	hB02_GALTB-IgA		B cell	B				B cells				MALT B cells,lower quality fibroblasts	B,B_Plasma,B_Plasma_LowInfo		B Cells		B cell	cB1 (B IGD+IgM+),cB3 (B CD40+ GC-like)
Immune cell	Lymphoid cell	B cell lineage	B cell	naive B cell		B naive																				
Immune cell	Lymphoid cell	B cell lineage	B cell	memory B cell		B mem exhausted,B mem activated,B mem,B cycling																				
